"Thématiques","Critères","Tests","Accueil","Vérification des informations de paiement","Justificatif de paiement","Actualités","Plan du site","FAQ","Modalités de règlement","Saisie Indicatif","Informations du virement","Erreur"
"1","1","1","c","c","c","c","c","c","c","c","c","c"
"1","1","2","na","na","na","na","na","na","na","na","na","na"
"1","1","3","na","na","na","na","na","na","na","na","na","na"
"1","1","4","na","na","na","na","na","na","na","na","na","na"
"1","1","5","na","na","na","na","na","na","na","na","na","na"
"1","1","6","na","na","na","na","na","na","na","na","na","na"
"1","1","7","na","na","na","na","na","na","na","na","na","na"
"1","1","8","na","na","na","na","na","na","na","na","na","na"
"1","2","1","na","na","na","na","na","na","na","na","na","na"
"1","2","2","na","na","na","na","na","na","na","na","na","na"
"1","2","3","na","na","na","na","na","na","na","na","na","na"
"1","2","4","na","na","na","na","na","na","na","na","na","na"
"1","2","5","na","na","na","na","na","na","na","na","na","na"
"1","2","6","na","na","na","na","na","na","na","na","na","na"
"1","3","1","nc","c","c","c","c","c","c","nc","c","c"
"1","3","2","na","na","na","na","na","na","na","na","na","na"
"1","3","3","na","na","na","na","na","na","na","na","na","na"
"1","3","4","na","na","na","na","na","na","na","na","na","na"
"1","3","5","na","na","na","na","na","na","na","na","na","na"
"1","3","6","na","na","na","na","na","na","na","na","na","na"
"1","3","7","na","na","na","na","na","na","na","na","na","na"
"1","3","8","na","na","na","na","na","na","na","na","na","na"
"1","3","9","c","c","c","c","c","c","c","c","c","c"
"1","4","1","na","na","na","na","na","na","na","na","na","na"
"1","4","2","na","na","na","na","na","na","na","na","na","na"
"1","4","3","na","na","na","na","na","na","na","na","na","na"
"1","4","4","na","na","na","na","na","na","na","na","na","na"
"1","4","5","na","na","na","na","na","na","na","na","na","na"
"1","4","6","na","na","na","na","na","na","na","na","na","na"
"1","4","7","na","na","na","na","na","na","na","na","na","na"
"1","5","1","na","na","na","na","na","na","na","na","na","na"
"1","5","2","na","na","na","na","na","na","na","na","na","na"
"1","6","1","nc|!F! Modale « Où trouver mon numéro de télépaiement et la clé? » & Modale « par application » && « par téléphone »","c","na","na","na","na","na","nc","na","na"
"1","6","2","na","na","na","na","na","na","na","na","na","na"
"1","6","3","na","na","na","na","na","na","na","na","na","na"
"1","6","4","na","na","na","na","na","na","na","na","na","na"
"1","6","5","na","na","na","na","na","na","na","na","na","na"
"1","6","6","na","na","na","na","na","na","na","na","na","na"
"1","6","7","na","na","na","na","na","na","na","na","na","na"
"1","6","8","na","na","na","na","na","na","na","na","na","na"
"1","6","9","na","na","na","na","na","na","na","na","na","na"
"1","6","10","na","na","na","na","na","na","na","na","na","na"
"1","7","1","na","na","na","na","na","na","na","na","na","na"
"1","7","2","na","na","na","na","na","na","na","na","na","na"
"1","7","3","na","na","na","na","na","na","na","na","na","na"
"1","7","4","na","na","na","na","na","na","na","na","na","na"
