"Critères","Valeur"
641,"1"
646,"5"
651,"1"
652,"1"
621,"2"
438,"1"
470,"1"
608,"2"
644,"1"
647,"1"
650,"1"
700,"1"
701,"1"
702,"1"
703,"1"
704,"1"
705,"1"
706,"1"
801,"1"
207,"1"
321,"1"
324,"1"
511,"1"
602,"1"
603,"1"
604,"1"
800,"1"
217,"1"
235,"1"
610,"1"
611,"1"
214,"1"
215,"1"
315,"1"
316,"1"
433,"1"
614,"1"
615,"1"
617,"1"
618,"1"
210,"1"
904,"0"
670,"1"
671,"1"
672,"1"
625,"1"
626,"1"
627,"1"
415,"1"
622,"1"
623,"1"
624,"1"
628,"1"
219,"1"
223,"1"
224,"1"
227,"1"
231,"1"
250,"3"
312,"1"
517,"1"
631,"4"
634,"1"
635,"1"
636,"1"
637,"1"
638,"2"
639,"1"
640,"1"
327,"1"
900,""
901,"1"
902,"1"
903,"1"
