"Thématiques","Critères","Tests","Chargement","Accueil","Vérification","Justificatif","Actualité","Plan du site","Contenu","Modalites Règlement","Saisie Indicatif","Informations Virement","Erreur"
"1","1","1","c","c","c","c","c","c","c","c","nc|!f! Il manque un `alt` sur l’image","c","c"
"1","1","2","na","na","na","na","na","na","na","na","na","na","na"
"1","1","3","na","na","na","na","na","na","na","na","na","na","na"
"1","1","4","na","na","na","na","na","na","na","na","na","na","na"
"1","1","5","na","na","na","na","na","na","na","na","na","na","na"
"1","1","6","na","na","na","na","na","na","na","na","na","na","na"
"1","1","7","na","na","na","na","na","na","na","na","na","na","na"
"1","1","8","na","na","na","na","na","na","na","na","na","na","na"
"1","2","1","c","c","c","c","c","c","c","c","nc|!f! Il manque un `alt` sur l’image","c","c"
"1","2","2","na","na","na","na","na","na","na","na","na","na","na"
"1","2","3","na","na","na","na","na","na","na","na","na","na","na"
"1","2","4","na","na","na","na","na","na","na","na","na","na","na"
"1","2","5","na","na","na","na","na","na","na","na","na","na","na"
"1","2","6","na","na","na","na","na","na","na","na","na","na","na"
"1","3","1","c","nc","c","c","c","c","c","c","c","c","c"
"1","3","2","na","na","na","na","na","na","na","na","na","na","na"
"1","3","3","na","na","na","na","na","na","na","na","na","na","na"
"1","3","4","na","na","na","na","na","na","na","na","na","na","na"
"1","3","5","na","na","na","na","na","na","na","na","na","na","na"
"1","3","6","na","na","na","na","na","na","na","na","na","na","na"
"1","3","7","na","na","na","na","na","na","na","na","na","na","na"
"1","3","8","na","na","na","na","na","na","na","na","na","na","na"
"1","3","9","c","c","c","c","c","c","c","c","c","c","c"
"1","4","1","na","na","na","na","na","na","na","na","na","na","na"
"1","4","2","na","na","na","na","na","na","na","na","na","na","na"
"1","4","3","na","na","na","na","na","na","na","na","na","na","na"
"1","4","4","na","na","na","na","na","na","na","na","na","na","na"
"1","4","5","na","na","na","na","na","na","na","na","na","na","na"
"1","4","6","na","na","na","na","na","na","na","na","na","na","na"
"1","4","7","na","na","na","na","na","na","na","na","na","na","na"
"1","5","1","na","na","na","na","na","na","na","na","na","na","na"
"1","5","2","na","na","na","na","na","na","na","na","na","na","na"
"1","6","1","c","nc|!F! Modale « Où trouver mon numéro de télépaiement et la clé? ». Manque une description de l’endroit ou trouver le numéro de paiement","c","c","c","c","c","c","c","c","c"
"1","6","10","na","na","na","na","na","na","na","na","na","na","na"
"1","6","2","na","na","na","na","na","na","na","na","na","na","na"
"1","6","3","na","na","na","na","na","na","na","na","na","na","na"
"1","6","4","na","na","na","na","na","na","na","na","na","na","na"
"1","6","5","na","na","na","na","na","na","na","na","na","na","na"
"1","6","6","na","na","na","na","na","na","na","na","na","na","na"
"1","6","7","na","na","na","na","na","na","na","na","na","na","na"
"1","6","8","na","na","na","na","na","na","na","na","na","na","na"
"1","6","9","na","na","na","na","na","na","na","na","na","na","na"
"1","7","1","na","na","na","na","na","na","na","na","na","na","na"
"1","7","2","na","na","na","na","na","na","na","na","na","na","na"
"1","7","3","na","na","na","na","na","na","na","na","na","na","na"
"1","7","4","na","na","na","na","na","na","na","na","na","na","na"
"1","7","5","na","na","na","na","na","na","na","na","na","na","na"
"1","7","6","na","na","na","na","na","na","na","na","na","na","na"
"1","8","1","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées","nc|!M! Sur chaque image, les alternatives ne sont pas stylées"
"1","8","2","na","na","na","na","na","na","na","na","na","na","na"
"1","8","3","na","na","na","na","na","na","na","na","na","na","na"
"1","8","4","na","na","na","na","na","na","na","na","na","na","na"
"1","8","5","na","na","na","na","na","na","na","na","na","na","na"
"1","9","1","na","na","na","na","na","na","na","na","na","na","na"
"1","9","2","na","na","na","na","na","na","na","na","na","na","na"
"1","9","3","na","na","na","na","na","na","na","na","na","na","na"
"1","9","4","na","na","na","na","na","na","na","na","na","na","na"
"1","9","5","na","na","na","na","na","na","na","na","na","na","na"
"2","1","1","na","na","na","na","na","na","na","na","na","na","na"
"2","2","1","na","na","na","na","na","na","na","na","na","na","na"
"3","1","1","na","na","na","na","na","na","na","na","na","na","na"
"3","1","2","na","na","na","na","na","na","na","na","na","na","na"
"3","1","3","na","na","na","na","na","na","na","na","na","na","na"
"3","1","4","na","na","na","na","na","na","na","na","na","na","na"
"3","1","5","na","na","na","na","na","na","na","na","na","na","na"
"3","1","6","na","na","na","na","na","na","na","na","na","na","na"
"3","2","1","c","nc|!F! Bloc « moyens de payer à distance ». Le constraste est de 4.23. ","nc|!F! Bloc information à gauche. Le constraste est de 4.23. ","nc|!F! Bloc information à gauche. Le constraste est de 4.23. ","c","c","c","c","c","c","c"
"3","2","2","c","c","c","c","c","c","c","c","c","c","c"
"3","2","3","c","c","c","c","c","c","c","c","c","c","c"
"3","2","4","c","c","c","c","c","c","c","c","c","c","c"
"3","2","5","c","c","c","c","c","c","c","c","c","c","c"
"3","3","1","c","c","c","c","c","c","c","c","c","c","c"
"3","3","2","c","c","c","c","c","c","c","c","c","c","c"
"3","3","3","c","c","c","c","c","c","c","c","c","c","c"
"3","3","4","c","c","c","c","c","c","c","c","c","c","c"
"4","1","1","na","na","na","na","na","na","na","na","na","na","na"
"4","1","2","na","na","na","na","na","na","na","na","na","na","na"
"4","1","3","na","na","na","na","na","na","na","na","na","na","na"
"4","2","1","na","na","na","na","na","na","na","na","na","na","na"
"4","2","2","na","na","na","na","na","na","na","na","na","na","na"
"4","2","3","na","na","na","na","na","na","na","na","na","na","na"
"4","3","1","na","na","na","na","na","na","na","na","na","na","na"
"4","3","2","na","na","na","na","na","na","na","na","na","na","na"
"4","4","1","na","na","na","na","na","na","na","na","na","na","na"
"4","5","1","na","na","na","na","na","na","na","na","na","na","na"
"4","5","2","na","na","na","na","na","na","na","na","na","na","na"
"4","6","1","na","na","na","na","na","na","na","na","na","na","na"
"4","6","2","na","na","na","na","na","na","na","na","na","na","na"
"4","7","1","na","na","na","na","na","na","na","na","na","na","na"
"4","8","1","na","na","na","na","na","na","na","na","na","na","na"
"4","8","2","na","na","na","na","na","na","na","na","na","na","na"
"4","9","1","na","na","na","na","na","na","na","na","na","na","na"
"4","10","1","na","na","na","na","na","na","na","na","na","na","na"
"4","11","1","na","na","na","na","na","na","na","na","na","na","na"
"4","11","2","na","na","na","na","na","na","na","na","na","na","na"
"4","11","3","na","na","na","na","na","na","na","na","na","na","na"
"4","12","1","na","na","na","na","na","na","na","na","na","na","na"
"4","12","2","na","na","na","na","na","na","na","na","na","na","na"
"4","13","1","na","na","na","na","na","na","na","na","na","na","na"
"4","13","2","na","na","na","na","na","na","na","na","na","na","na"
"5","1","1","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"5","2","1","na","na","na","na","na","na","na","na","na","na","na"
"5","3","1","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"5","4","1","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"5","5","1","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"5","6","1","c","c","c","c","c","c","c","c","c","c","c"
"5","6","2","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"5","6","3","na","na","na","na","na","na","na","na","na","na","na"
"5","7","1","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","2","na","na","na","na","na","na","na","na","na","na","na"
"5","7","3","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","4","na","na","na","na","na","na","na","na","na","na","na"
"5","7","5","na","na","na","na","na","na","na","na","na","na","na"
"5","8","1","na","na","na","na","na","na","na","na","na","na","na"
"6","1","1","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","2","na","na","na","na","na","na","na","na","na","na","na"
"6","1","3","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","4","na","na","na","na","na","na","na","na","na","na","na"
"6","1","5","c","c","c","c","c","c","c","c","c","c","c"
"6","2","1","c","c","c","c","c","c","c","c","c","c","c"
"7","1","1","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA
Modale « Où trouver mon numéro de télépaiement et la clé? ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA","nc|!M! Modale « FAQ ». Le collapse ne présente pas d’attribut WAI-ARIA"
"7","1","2","","","","","","","","","","",""
"7","1","3","","","","","","","","","","",""
"7","2","1","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"7","2","2","","","","","","","","","","",""
