"Thématiques","Critères","Tests","Page de saisie","Page de confirmation"
"1","1","1","nc","nc"
"1","1","2","na","na"
"1","1","3","na","na"
"1","1","4","na","na"
"1","1","5","na","na"
"1","1","6","na","na"
"1","1","7","na","na"
"1","1","8","na","na"
"1","2","1","c","na"
"1","2","2","na","na"
"1","2","3","na","na"
"1","2","4","na","na"
"1","2","5","na","na"
"1","2","6","na","na"
"1","3","1","c","na"
"1","3","2","na","na"
"1","3","3","na","na"
"1","3","4","na","na"
"1","3","5","na","na"
"1","3","6","na","na"
"1","3","7","na","na"
"1","3","8","na","na"
"1","3","9","na","na"
"1","4","1","na","na"
"1","4","2","na","na"
"1","4","3","na","na"
"1","4","4","na","na"
"1","4","5","na","na"
"1","4","6","na","na"
"1","4","7","na","na"
"1","5","1","na","na"
"1","5","2","na","na"
"1","6","1","na","na"
"1","6","2","na","na"
"1","6","3","na","na"
"1","6","4","na","na"
"1","6","5","na","na"
"1","6","6","na","na"
"1","6","7","na","na"
"1","6","8","na","na"
"1","6","9","na","na"
"1","6","10","na","na"
"1","7","1","na","na"
"1","7","2","na","na"
"1","7","3","na","na"
"1","7","4","na","na"
"1","7","5","na","na"
"1","7","6","na","na"
"1","8","1","nc","nc"
"1","8","2","na","na"
"1","8","3","na","na"
"1","8","4","na","na"
"1","8","5","na","na"
"1","9","1","na","na"
"1","9","2","na","na"
"1","9","3","na","na"
"1","9","4","na","na"
"1","9","5","na","na"
"2","1","1","na","na"
"2","2","1","na","na"
"3","1","1","na","na"
"3","1","2","na","na"
"3","1","3","na","na"
"3","1","4","na","na"
"3","1","5","na","na"
"3","1","6","na","na"
"3","2","1","c","na"
"3","2","2","c","na"
"3","2","3","c","na"
"3","2","4","c","na"
"3","2","5","na","na"
"3","3","1","nc|Bouton annuler","na"
"3","3","2","nc|Bouton annuler","na"
"3","3","3","nc|Bouton annuler","na"
"3","3","4","na","na"
"4","1","1","na","na"
"4","1","2","na","na"
"4","1","3","na","na"
"4","2","1","na","na"
"4","2","2","na","na"
"4","2","3","na","na"
"4","3","1","na","na"
"4","3","2","na","na"
