"Thématiques","Critères","Page d’accueil","Personnaliser son mot de passe","Informations générales","Homologation","Sécurité","Aide à la navigation","Mentions et crédits","Répondre par internet au recensement (1ere page une fois la connexion)","Feuille de logement : localisation du logement (2eme page)","Question sur les habitants : liste des personnes vivant habituellement dans le logement","Liens ou relations entre les habitants du logement","Les lieux d’habitation","Bilan des réponses aux questionnaires","Bulletin individuel du premier habitant renseigné","Bulletin individuel : quelle est votre nationalité","Après l’envoi du questionnaire"
"1","1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"1","2","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","nc"
"1","3","nc","na","na","na","na","na","na","c","c","nc","na","na","na","na","na","na"
"1","4","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"1","5","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"1","6","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"1","7","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"1","8","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"1","9","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"2","1","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"2","2","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"3","1","na","na","na","na","na","na","na","na","na","na","na","na","c","c","c","c"
"3","2","c","c","c","c","c","c","c","nc","nc","nc","c","c","nc","na","na","c"
"3","3","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"4","1","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","2","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","3","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","4","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","5","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","6","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","7","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","8","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","9","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","10","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","11","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","12","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"4","13","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"5","1","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"5","2","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"5","3","na","na","na","na","na","na","na","na","na","nc","nc","na","na","na","na","na"
"5","4","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"5","5","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"5","6","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"5","7","na","na","na","na","na","na","na","na","na","na","na","na","c","na","na","na"
"5","8","na","na","na","na","na","na","na","na","na","nc","c","na","na","na","na","na"
"6","1","c","c","c","c","c","nc","na","c","c","c","c","c","c","c","c","c"
"6","2","c","c","c","c","c","c","na","c","c","c","c","c","c","c","c","c"
"7","1","nc","na","na","na","na","na","na","na","na","nc","c","na","na","nc","nc","na"
"7","2","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"7","3","nc","na","na","na","na","na","na","na","na","c","c","na","na","na","na","na"
"7","4","na","na","na","na","na","na","na","na","na","na","c","na","na","na","na","na"
"7","5","na","nc","na","na","na","na","na","na","na","nc","na","na","na","na","na","na"
"8","1","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"8","2","c","c","c","c","c","c","c","nc","c","c","c","nc","nc","c","c","c"
"8","3","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"8","4","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"8","5","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"8","6","c","nc","nc","nc","nc","nc","nc","nc","c","c","nc","nc","c","nc","nc","c"
"8","7","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"8","8","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"8","9","nc","c","c","c","nc","c","nc","c","nc","c","nc","c","nc","nc","c","c"
"8","10","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"9","1","nc","nc","c","c","c","c","c","nc","na","na","nc","na","c","na","na","nc"
"9","2","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"9","3","nc","nc","c","c","c","c","c","na","na","na","na","na","na","na","na","na"
"9","4","na","na","na","nc","na","na","na","na","na","na","na","na","na","na","na","na"
"10","1","c","nc","nc","c","c","c","c","nc","nc","nc","nc","c","nc","nc","nc","c"
"10","2","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"10","3","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"10","4","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"10","5","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"10","6","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"10","7","c","c","c","c","c","c","c","nc","na","na","c","c","c","na","na","c"
"10","8","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"10","9","na","na","na","na","na","na","na","c","c","c","c","c","c","c","c","c"
"10","10","na","na","na","na","na","na","na","c","c","c","c","c","c","c","c","c"
"10","11","c","nc","c","c","c","c","c","na","na","na","na","na","na","na","na","na"
"10","12","nc","c","nc","na","na","na","na","c","c","c","c","c","c","c","c","c"
"10","13","na","na","na","na","na","na","na","nc","na","na","na","na","na","na","na","na"
"10","14","na","na","na","na","na","na","na","nc","na","na","na","na","na","na","na","na"
"11","1","c","c","na","na","na","na","na","c","nc","nc","nc","c","na","nc","c","na"
"11","2","c","c","na","na","na","na","na","c","nc","nc","na","nc","na","c","nc","na"
"11","3","na","na","na","na","na","na","na","na","na","c","na","na","na","na","na","na"
"11","4","na","na","na","na","na","na","na","na","na","na","na","c","na","c","c","na"
"11","5","na","na","na","na","na","na","na","nc","na","nc","na","nc","na","nc","na","na"
"11","6","na","na","na","na","na","na","na","na","nc","nc","nc","c","na","c","c","na"
"11","7","na","na","na","na","na","na","na","na","na","na","na","na","na","c","c","na"
"11","8","na","na","na","na","na","na","na","na","na","na","na","na","na","c","c","na"
"11","9","nc","nc","na","na","na","na","na","c","c","nc","na","na","na","c","c","na"
"11","10","nc","nc","na","na","na","na","na","nc","nc","nc","na","na","na","na","na","na"
"11","11","na","nc","na","na","na","na","na","na","nc","c","na","na","na","na","na","na"
"11","12","na","na","na","na","na","na","na","na","na","c","na","na","na","na","na","na"
"11","13","na","na","na","na","na","na","na","na","na","nc","na","na","na","nc","nc","na"
"12","1","nc","na","nc","na","na","na","na","na","na","na","na","na","na","na","na","na"
"12","2","c","c","nc","na","na","na","na","c","c","c","c","c","c","c","c","c"
"12","3","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"12","4","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"12","5","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"12","6","nc","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"12","7","nc","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"12","8","c","c","c","c","c","c","c","c","c","nc","nc","nc","c","nc","nc","c"
"12","9","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"12","10","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"12","11","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","1","na","nc","na","na","na","na","na","nt","nt","nt","nt","nt","nt","nt","nt","nt"
"13","2","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","3","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","4","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","5","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","6","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","7","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","8","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","9","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"13","10","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","11","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"13","12","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
